cluster	kingdom	phylum	class	order
CLUSTER2	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales
CLUSTER4	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales
CLUSTER15	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales
CLUSTER6	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales
CLUSTER17	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales
CLUSTER19	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales
CLUSTER27	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales
CLUSTER25	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales
CLUSTER28	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales
CLUSTER10	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales
CLUSTER5	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales
CLUSTER20	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales
CLUSTER7	Bacteria	Bacteriodetes	Flavobacteriia	Flavobacteriales
CLUSTER11	Bacteria	Bacteriodetes	Flavobacteriia	Flavobacteriales
CLUSTER18	Bacteria	Bacteriodetes	Flavobacteriia	Flavobacteriales
CLUSTER23	Bacteria	Bacteriodetes	Flavobacteriia	Flavobacteriales
CLUSTER8	Bacteria	Bacteriodetes	Flavobacteriia	Flavobacteriales
CLUSTER21	Bacteria	Bacteriodetes	Flavobacteriia	Flavobacteriales
CLUSTER22	Bacteria	Bacteriodetes	Flavobacteriia	Flavobacteriales
CLUSTER29	Bacteria	Bacteriodetes	Flavobacteriia	Flavobacteriales
CLUSTER12	Bacteria	Bacteriodetes	Sphingobacteriia	Sphingobacteriales
CLUSTER14	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales
CLUSTER30	Bacteria	Cyanobacteria	Synechococcophycideae	Synechococcales
CLUSTER3	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales
CLUSTER1	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales
CLUSTER16	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales
CLUSTER26	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales
CLUSTER13	Archaea	Thaumarchaeota		
CLUSTER9	Bacteria	Verrucomicrobia	[Methylacidiphilae]	Methylacidiphilales
CLUSTER24	Bacteria	Verrucomicrobia	Optitutae	Opitutales
